Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
ROOT,sign (Latin),mark / sign,significant,having a notable mark / meaning,"How does 'sign' connect 'signal,' 'signature,' and 'designate'?",2
ROOT,simil / simul (Latin),like / resembling,similar,resembling another thing,How does 'simul' connect 'simulate' (to make like) and 'simultaneous'?,4
ROOT,sinus (Latin),hollow / curve / bay,sinusitis,inflammation of the hollow cavities in the skull,"How does 'sinus' connect 'paranasal sinuses,' 'dural venous sinuses,' and 'sinusoidal capillaries'?",4
ROOT,slander (Old French/Latin),scandal / false report,slander of title,the malicious false statement disparaging another's title to property,How does 'slander of title' differ from 'defamation' as a tort?,4
ROOT,sol (Latin),alone / sun,solitary,being alone,How does 'sol' mean two different things in 'solar' (sun) vs. 'solitude' (alone)?,3
ROOT,solv / solu (Latin),to loosen / to free,solve,to find the answer (free from the problem),How does 'solv' connect 'dissolve' (loosen apart) and 'resolve'?,4
ROOT,solvency (Latin),to loosen / to pay,solvency opinion,a formal opinion by an independent financial adviser that a company can meet its obligations,When is a 'solvency opinion' required in leveraged transactions and what does it protect against?,5
ROOT,soma (Greek),body,somatic,relating to the body as distinct from the mind or germ cells,"How does 'soma' connect 'somatostatin' (body-stopping hormone), 'chromosome,' and 'psychosomatic'?",4
ROOT,son (Latin),sound,sonic,relating to sound,"How does 'son' connect 'resonance,' 'consonant,' and 'dissonant'?",3
ROOT,spec / spect / spic (Latin),to look / to see,inspect,to look into carefully,"How does 'spect' connect 'spectator,' 'perspective,' and 'suspect' (look under)?",2
ROOT,specific performance (Latin),to carry out specifically,specific performance,an equitable order compelling a party to perform their contractual obligations,When will a court award 'specific performance' rather than damages?,5
ROOT,spher (Greek),ball / globe,atmosphere,the layer of gases surrounding the globe,How does 'spher' shape the meaning of 'hemisphere' and 'biosphere'?,3
ROOT,sphincter (Greek),to bind tight,sphincter,a circular muscle that constricts a passage or orifice,How does 'sphingein' (to bind tight) describe both the 'Sphinx' (the binder) and the sphincter muscle?,5
ROOT,spin (Latin),thorn / spine,spinal,relating to the spine,How does 'spin' shape the meaning of 'spindle' and 'porcupine' (spine-pig)?,4
ROOT,spir (Latin),to breathe,inspire,to breathe life into / to motivate,"How does 'spir' connect 'expire' (breathe out/end), 'respire,' and 'conspire'?",3
ROOT,squam (Latin),scale,squamous epithelium,a flat scale-like layer of epithelial cells,"How does 'squam' connect 'squamous cell carcinoma,' 'squamate reptiles,' and 'desquamation' (shedding scales)?",7
ROOT,standard (Old French/Germanic),a gathering point / a measure,accounting standard,a set of rules governing the preparation of financial statements,How do IFRS and U.S. GAAP 'accounting standards' differ in their treatment of financial instruments?,2
ROOT,standing (Old English),to stand,constitutional standing,the requirement that a plaintiff have suffered injury in fact to bring a constitutional claim,What are the three requirements for Article III 'standing' in U.S. federal courts?,4
ROOT,stat / stit (Latin),to stand / to place,stationary,standing still,"How does 'stat' connect 'status,' 'substitute' (stand in place of), and 'establish'?",3
ROOT,statute (Latin),to set up / to establish,statute of limitations,a law prescribing the time within which legal proceedings must be commenced,How does the discovery rule postpone the running of a 'statute of limitations' in latent-injury cases?,2
ROOT,stellate (Latin),star-shaped,stellate cell,a star-shaped cell type found in the brain and liver,"How does 'stella' (star) connect 'stellar,' 'interstellar,' and 'stellate ganglion'?",7
ROOT,stock (Old English/Germanic),a trunk / a store,preferred stock,equity with priority over common stock for dividends and in liquidation,How does 'preferred stock' differ from 'common stock' in terms of rights and risk?,2
ROOT,stoma (Greek),mouth / opening,stomatitis,inflammation of the mucous lining of the mouth,"How does 'stoma' connect 'stomata' (leaf openings), 'colostomy' (gut mouth), and 'anastomosis'?",5
ROOT,stratum (Latin),layer / spread,stratum corneum,the outermost horny layer of the skin,"How does 'stratum' connect 'stratify,' 'stratigraphy,' and the layers of the epidermis?",4
ROOT,stria (Latin),groove / stripe,striatum,a striped structure in the basal ganglia of the brain,How does 'stria' connect 'striae gravidarum' (pregnancy stretch marks) and 'corpus striatum'?,7
ROOT,stru / struct (Latin),to build,construct,to build together,"How does 'struct' connect 'destruction,' 'infrastructure,' and 'instruct'?",2
ROOT,subrogation (Latin),to substitute,right of subrogation,an insurer's right to step into the shoes of the insured after paying a claim,How does 'subrogation' prevent the insured from recovering twice for the same loss?,7
ROOT,sulcus (Latin),groove / furrow,sulci,the grooves between the gyri (folds) of the brain,How does 'sulcus' connect 'insula' (island in a brain groove) and 'sulcal' anatomy?,8
ROOT,sum / sumpt (Latin),to take / to use,consume,to take in completely,How does 'sumpt' shape the meaning of 'assume' and 'presume'?,5
ROOT,surfactant (Latin),surface-active,surfactant,a substance that reduces surface tension (as in the lungs),How does 'surf-' (surface) + 'act-' (active) + '-ant' (agent) describe surfactant's mechanism?,7
ROOT,symbiont (Greek),living together,symbiosis,a close ecological relationship between two species,How does 'sym-' (together) + 'bios' (life) define the spectrum from mutualism to parasitism in symbiosis?,6
ROOT,synapse (Greek),to clasp together,synaptic,relating to the gap between neurons where signals are transmitted,How does 'syn-' (together) + 'haptein' (to clasp) describe the synaptic connection?,5
ROOT,syndicate (French/Latin),a group of representatives,loan syndication,the process of distributing a large loan among a group of lenders,"What roles do the 'arranger,' 'agent,' and 'participant' play in a syndicated loan?",5
ROOT,systole (Greek),to contract,systolic pressure,the blood pressure during heart contraction,How does 'systole' (contraction) contrast with 'diastole' (relaxation) in the cardiac cycle?,6
ROOT,tang / tact (Latin),to touch,tangible,able to be touched,"How does 'tact' connect 'contact,' 'intact,' and 'tactile'?",4
ROOT,tangible (Latin),touchable,tangible net worth,the net value of a company's tangible assets after deducting liabilities,Why do lenders use 'tangible net worth' covenants rather than total net worth in loan agreements?,4
ROOT,tax / tact (Greek),to arrange / order,syntax,the arrangement of words in a sentence,How does 'tax' connect 'taxonomy' (arrangement of names) and 'tactics'?,5
ROOT,techne (Greek),skill / craft / art,technology,the application of craft/skill to practical ends,How does 'techne' shape the meaning of 'technical' and 'technique'?,4
ROOT,tela (Latin),web / tissue,tela choroidea,a thin vascular layer in the brain's ventricular roof,How does 'tela' (web) connect 'telangiectasia' (web-like dilated vessels) and 'tela subcutanea'?,9
ROOT,telomere (Greek),end part,telomerase,the enzyme that maintains and extends telomeres,How does 'telo-' (end) + '-mere' (part) describe the telomere's position at chromosome ends?,7
ROOT,temp (Latin),time,temporary,lasting only for a time,"How does 'temp' connect 'contemporary,' 'tempo,' and 'temporal'?",2
ROOT,ten / tin / tain (Latin),to hold,contain,to hold within,"How does 'tain' connect 'retain' (hold back), 'detain,' and 'sustain'?",4
ROOT,tender (Latin/Old French),to stretch out / to offer,tender offer,a public bid to acquire shares directly from shareholders at a stated price,How does a 'tender offer' differ from a negotiated merger in terms of shareholder choice?,4
ROOT,term (Latin),end / boundary,terminal,relating to an end point,"How does 'term' connect 'determine' (set the end), 'terminate,' and 'term'?",2
ROOT,terr (Latin),earth / land,terrain,a stretch of land,"How does 'terr' connect 'territory,' 'terrestrial,' and 'subterranean'?",2
ROOT,test (Latin),to witness / to attest,testify,to witness under oath,"How does 'test' connect 'testimony,' 'contest,' and 'protest'?",3
ROOT,testimony (Latin),witness / evidence,expert testimony,evidence given by a qualified expert on matters outside lay knowledge,What criteria govern the admissibility of 'expert testimony' under Daubert?,3
ROOT,thalamus (Greek),inner chamber / bridal chamber,thalamic,relating to the thalamus (the brain's central relay station),How does 'thalamus' (inner chamber) describe its role as the gateway to the cerebral cortex?,5
ROOT,theo (Greek),god,theology,the study of the nature of god,How does 'theo' connect 'atheist' (no god) and 'monotheism'?,3
ROOT,therm (Greek),heat,thermostat,a device for measuring and controlling heat,How does 'therm' connect 'hypothermia' and 'geothermal'?,2
ROOT,thorax (Greek),breastplate / chest,thoracic,relating to the thorax (chest cavity),"How does 'thorax' connect 'thoracotomy,' 'pneumothorax,' and 'thoracic vertebrae'?",4
ROOT,thrombus (Greek),clot / lump,thromboembolism,a clot that travels in the bloodstream and blocks a vessel,How does 'thrombus' connect 'thrombocyte' (clotting cell) and 'thrombolytics' (clot-busting drugs)?,6
ROOT,thymus (Greek),warty growth / soul,thymic,relating to the thymus gland (originally named for its lumpy appearance),"How does 'thymus' connect 'thymocyte,' 'thymosin,' and the thymus's immunological role?",6
ROOT,tibia (Latin),shin bone / flute,tibial,relating to the tibia (the main lower leg bone),How does 'tibia' connect 'tibialis anterior muscle' and the ancient use of the tibia as a flute?,5
ROOT,title (Latin),a right / an inscription,good and marketable title,a title free from undisclosed encumbrances and reasonably capable of transfer,What searches and investigations are conducted to verify 'good title' in a real estate acquisition?,2
ROOT,title (Latin/Old French),a right / an inscription,marketable title,a title to property that is reasonably free of defects and liens,How does 'marketable title' differ from 'insurable title' in real estate transactions?,2
ROOT,tors / tort (Latin),to twist,contort,to twist out of normal shape,"How does 'tort' connect 'distort,' 'tortuous' (full of twists), and 'torture'?",5
ROOT,tort (Latin/Old French),a wrong / a twist,tortfeasor,a person who commits a civil wrong,How does 'tort' liability differ from contractual liability in terms of the source of the duty?,4
ROOT,trabecula (Latin),little beam / bar,trabecular,relating to a network of small supporting beams in tissue,How does 'trabecula' connect 'trabecular bone' and 'trabecular meshwork' (in the eye)?,8
ROOT,tract (Latin),to pull / to drag,attract,to pull toward,"How does 'tract' connect 'extract' (pull out), 'contract,' and 'distract'?",3
